Year,Coverage,Outbreak Probability,Outbreak Prob (Lower 95% CI),Outbreak Prob (Upper 95% CI),Relative Cumulative Infections,IQR 1 Relative Cumulative Infections,IQR 3 Relative Cumulative Infections,,,
1,0.993672819,0.046363636,0.033937392,0.05878988,0.08,0.062222222,0.108888889,,,
2,0.945015101,0.054,0.039991278,0.068008722,0.089444444,0.0675,0.125833333,,,
3,0.899713087,0.06375,0.046820385,0.080679615,0.084444444,0.057777778,0.148888889,,,
4,0.854411074,0.096666667,0.073021475,0.120311858,0.125555556,0.081111111,0.189166667,,,
5,0.80910906,0.082857143,0.062435507,0.103278778,0.104444444,0.068888889,0.150833333,,,
6,0.762129195,0.11,0.082574004,0.137425996,0.145555556,0.077777778,0.193333333,,,
7,0.716827181,0.118,0.089722151,0.146277849,0.13,0.076666667,0.197222222,,,
8,0.669847315,0.135,0.10151109,0.16848891,0.133888889,0.0825,0.253611111,,,
9,0.62286745,0.213333333,0.166975815,0.259690852,0.186666667,0.112777778,0.320277778,,,
10,0.577565436,0.286666667,0.235494913,0.33783842,0.209444444,0.113888889,0.400833333,,,
11,0.53058557,0.27,0.208470358,0.331529642,0.188333333,0.110555556,0.531666667,,,
12,0.486961409,0.285,0.22243715,0.34756285,0.438888889,0.201111111,1.044444444,,,
13,0.443337248,0.31,0.257663963,0.362336037,0.444444444,0.162222222,1.034444444,,,
14,0.398035235,0.346666667,0.292812552,0.400520782,0.617777778,0.216944444,1.5375,,,
15,0.352733221,0.35,0.296025809,0.403974191,0.976666667,0.181111111,2.104444444,,,
16,0.307431208,0.433333333,0.377258199,0.489408468,1.431111111,0.258888889,2.168888889,,,
17,0.262129195,0.446666667,0.39040914,0.502924193,2.222222222,0.724722222,2.879722222,,,
18,0.218505034,0.53,0.460828382,0.599171618,2.801666667,1.963611111,3.251111111,,,
19,0.174880872,0.495,0.425707,0.564293,3.175555556,2.564444444,3.523888889,,,
20,0.129578859,0.53,0.460828382,0.599171618,3.467222222,2.925833333,3.876944444,,,
21,0.08763255,0.56,0.491204279,0.628795721,3.841111111,3.285277778,4.321111111,,,
22,0.042330537,0.575,0.506487556,0.643512444,4.29,3.974444444,4.597777778,,,
23,0,0.63,0.563086737,0.696913263,4.533888889,4.282222222,4.834166667,,,
